level1_name,level1_pcode,level3_name,level3_pcode,level2_name,level2_pcode,year,month,week,day,mgt_case,mgt_death,chl_case,chl_death,chl_attack
,,Abala,ner002108,Tillaberi,ner003006,2018,1,1,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,1,2,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,1,3,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,1,4,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,1,5,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,2,6,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,2,7,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,2,8,4,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,2,9,1,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,2,10,6,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,3,11,4,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,3,12,1,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,3,13,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,4,14,4,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,4,15,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,4,16,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,4,17,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,4,18,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,5,19,4,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,5,20,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,5,21,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,6,22,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,6,23,6,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,6,24,4,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,6,25,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,6,26,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,7,27,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,7,28,1,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,7,29,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,8,30,6,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,8,31,2,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,8,32,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,8,33,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,8,34,7,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,9,35,5,0,0,0,0,0
,,Abala,ner002108,Tillaberi,ner003006,2018,9,36,3,0,0,0,0,0
